DateTime,AddedIPs,RemovedIPs
1533052103,29,34
1533053085,30,29
1533054029,38,38
1533054773,42,72
1533055461,68,58
1533056439,71,54
1533057165,46,55
1533057852,58,44
1533058570,42,81
1533059295,63,55
1533060039,65,41
1533060758,41,28
1533061709,38,73
1533062418,60,29
1533063143,38,32
1533064116,31,98
1533064820,99,30
1533065555,30,38
1533067501,52,77
1533068180,61,34
1533069154,44,52
1533069860,38,32
1533070580,27,45
1533071307,46,12
1533072025,15,47
1533072747,49,46
1533073460,43,35
1533074180,36,57
1533075154,44,44
1533075862,73,46
1533076583,71,120
1533077303,56,62
1533078027,36,44
1533078756,38,20
1533079466,21,39
1533080178,37,20
1533080910,14,41
1533081631,46,33
1533082346,40,43
1533083061,30,33
1533083787,28,50
1533084765,70,51
1533085453,31,46
1533086174,47,42
1533087156,57,37
1533087862,29,40
1533088584,41,38
1533089553,54,39
1533090261,30,55
1533090999,43,54
1533091700,41,30
1533092441,36,49
1533093383,50,50
1533094353,44,49
1533095058,44,56
1533095769,62,45
1533096488,52,40
1533097210,29,56
1533097933,51,60
1533098659,54,33
1533099368,33,35
1533100097,32,43
1533101055,40,38
1533102030,39,69
1533102993,56,30
1533103958,39,36
1533104663,30,72
1533105382,74,34
1533106351,43,72
1533107065,65,49
1533107799,52,46
1533108753,58,45
1533109463,41,50
1533110203,50,43
1533110901,49,31
1533111624,33,49
1533112348,40,42
1533113062,43,76
1533114034,85,43
1533114749,28,65
1533115467,62,65
1533116179,75,44
1533116907,52,51
1533117876,52,47
1533118583,43,50
1533119306,56,40
1533120019,34,70
1533120743,63,44
1533121713,36,86
1533122419,111,42
1533123154,45,53
1533124864,71,71
1533125542,65,50
1533126266,46,53
1533127229,50,37
1533127958,47,52
1533128678,43,47
1533129387,51,57
1533130100,47,73
1533130822,77,38
1533131548,49,54
1533132267,42,37
1533132988,51,60
1533133956,55,73
1533134661,65,75
1533135388,86,66
1533136102,56,54
1533136825,63,47
1533137796,43,39
