DateTime,AddedIPs,RemovedIPs
1533041061,0,6
1533041557,6,27
1533042031,0,8
1533042497,21,3
1533043007,8,7
1533043461,59,29
1533043960,16,10
1533044414,84,37
1533044924,13,14
1533045394,77,34
1533045890,12,2
1533046338,73,24
1533046813,12,8
1533047327,48,31
1533047792,15,6
1533048295,53,35
1533049005,15,2
1533049487,84,35
1533050045,6,3
1533050415,37,38
1533051132,15,8
1533051388,51,26
1533052109,8,1
1533052587,56,43
1533053098,10,6
1533053564,36,29
1533054036,9,6
1533054492,54,35
1533055233,16,9
1533055490,47,29
1533056448,56,36
1533057374,43,32
1533058349,72,25
1533059303,45,6
1533060270,44,40
1533061217,66,27
1533062175,53,37
1533063151,60,37
1533064123,60,55
1533065056,55,27
1533066019,55,30
1533067526,57,38
1533068661,52,29
1533069611,52,30
1533070589,51,53
1533071678,42,23
1533072755,59,31
1533073712,38,37
1533074683,57,33
1533075622,47,30
1533076590,53,22
1533077548,60,26
1533078496,41,25
1533079473,47,44
1533080411,63,37
1533081369,49,49
1533082363,50,43
1533083305,66,48
1533084269,86,48
1533085234,52,38
1533086181,53,43
1533087164,48,31
1533088093,64,20
1533089068,61,61
1533090012,54,7
1533091006,56,81
1533091947,54,42
1533092917,45,10
1533093857,50,30
1533094815,57,19
1533095777,50,24
1533096735,49,24
1533097702,46,19
1533098682,52,28
1533099628,44,34
1533100593,43,31
1533101541,62,34
1533102500,57,33
1533103468,49,28
1533104414,74,32
1533105390,71,38
1533106364,56,37
1533107294,70,43
1533108254,77,32
1533109214,76,37
1533110215,57,30
1533111136,78,34
1533112116,80,43
1533113069,36,7
1533114042,69,37
1533114975,68,37
1533115937,68,34
1533116916,64,28
1533117884,66,22
1533118813,63,40
1533119772,52,38
1533120760,59,32
1533121721,49,39
1533122663,80,33
1533124872,113,68
1533125775,60,34
1533126750,67,60
1533127696,58,35
1533128686,71,29
1533129609,69,28
1533130572,50,42
1533131566,48,27
1533132497,58,28
1533133463,70,51
1533134412,57,34
1533135395,61,30
1533136333,61,38
1533137380,68,37
1533138523,69,23
1533139457,59,43
1533140434,88,30
1533141394,87,42
1533142340,76,40
1533143299,73,34
1533144278,57,31
1533145240,105,33
1533146172,91,49
1533147143,76,28
1533148091,74,36
1533149106,99,49
1533150014,91,53
1533150987,79,32
1533151966,76,43
1533152900,99,47
1533153862,92,40
1533154815,75,40
1533155792,82,57
1533156736,75,0
1533157703,96,100
1533158665,77,3
1533159631,105,25
1533160573,64,33
1533161543,84,35
1533162495,103,44
1533163488,100,26
1533164443,90,38
1533165386,118,44
1533166847,112,50
1533167769,117,38
1533168747,116,26
1533169700,101,47
1533170700,96,38
1533171613,106,36
1533172598,107,47
1533173541,78,42
1533174515,133,41
1533175467,121,4
1533176420,124,64
1533177388,85,40
1533178342,92,31
1533179297,81,9
1533180269,95,74
1533181213,98,25
1533182190,76,35
1533183142,80,9
1533184095,104,61
1533185087,61,36
1533186037,69,48
1533186984,73,21
1533187950,80,10
1533188894,75,30
1533189886,76,65
1533190810,53,9
1533191793,97,34
1533192764,72,28
1533193718,69,77
1533194662,71,38
1533195630,62,51
1533196581,59,10
1533197544,85,29
1533198502,55,32
1533199469,55,37
1533200466,44,27
1533201387,56,34
1533202342,43,36
1533203323,72,42
1533204262,47,46
1533205212,88,41
1533206192,64,34
1533207158,72,22
1533208367,90,22
1533209292,63,25
1533210275,60,23
1533211267,59,21
1533212194,55,24
1533213142,74,19
1533214391,79,30
1533215293,49,17
1533216260,51,29
1533217228,86,46
1533218194,39,27
1533219139,45,29
1533220095,57,23
1533221094,51,40
1533222027,54,30
1533222978,51,22
1533223952,54,38
1533224924,56,7
1533226161,70,51
1533227054,10,0
1533227286,38,2
1533228014,9,5
1533228289,46,17
1533228984,19,4
1533229214,41,25
1533229929,9,5
1533230174,49,13
1533230890,7,0
1533231154,57,28
1533231868,19,4
1533232365,45,21
1533232848,13,5
1533233315,64,24
1533233793,0,5
1533234287,49,26
1533234751,12,24
1533235240,54,34
1533235691,10,6
1533236178,55,21
1533236673,13,10
1533237145,95,1528
1533237630,13,0
1533238092,47,3
1533238581,14,0
1533239093,69,26
1533239548,13,4
1533240033,58,27
1533240499,6,4
1533240981,74,18
1533241466,4,6
1533241957,65,33
1533242434,17,5
1533242899,44,19
1533243390,18,11
1533243882,43,21
1533244374,10,5
1533244818,45,5
1533245313,5,11
1533245781,48,21
1533246377,13,10
1533246736,50,18
1533247457,17,6
1533247715,44,15
1533248423,8,7
1533248670,57,14
1533249373,13,10
1533249617,42,22
1533250327,8,7
1533250588,50,14
1533251310,7,10
1533251540,50,18
1533252247,12,13
1533253731,77,57
1533254660,55,31
1533255619,60,23
1533256602,63,29
1533257581,72,39
1533258520,63,18
1533259465,66,24
1533260412,55,25
1533261393,87,21
1533262354,51,33
1533263293,53,31
1533264294,63,31
1533265247,67,18
1533266173,55,25
1533267149,55,17
1533268096,56,23
1533269073,66,17
1533270031,60,19
1533270993,46,29
1533271975,48,19
1533272900,64,34
1533273863,49,32
1533274811,45,18
1533275782,48,33
1533276756,75,15
1533277689,82,18
1533278673,56,24
1533279614,71,24
1533280626,80,29
1533281535,54,6
1533282500,86,41
1533283466,53,35
1533284421,77,28
1533285388,82,16
1533286330,84,7
1533287309,75,18
1533288269,80,57
1533289216,81,9
1533290189,83,60
1533291136,63,12
1533292100,66,19
1533293058,57,37
1533294021,37,28
1533294996,67,24
1533296188,86,38
1533297144,62,25
1533298110,61,5
1533299225,63,29
1533300249,47,27
1533301217,38,35
1533302180,41,23
1533303133,43,16
1533304112,36,22
1533305057,55,26
1533306023,45,26
1533306985,45,21
1533307938,42,30
1533308898,24,22
1533309869,48,3
1533310829,44,41
1533311778,32,3
1533312734,43,15
1533313700,46,52
1533314675,47,11
1533315643,52,44
1533316572,42,4
1533317555,58,29
1533318502,52,23
1533319470,43,2
1533320418,48,23
1533321396,58,27
1533322374,42,35
1533323570,52,31
1533324501,72,18
1533325464,58,34
1533326436,60,26
1533327396,67,21
1533328338,61,28
1533329295,56,22
1533330280,59,20
1533331245,55,18
1533332178,51,30
1533333144,70,31
1533334119,38,22
1533335076,47,20
1533336016,56,18
1533336985,68,31
1533337940,51,21
1533338925,63,22
1533339855,53,22
1533340833,54,22
1533341775,84,34
1533342754,81,26
1533343704,71,26
1533344689,63,41
1533345614,59,40
1533346586,74,33
1533347543,42,33
1533348507,74,30
1533349456,69,23
1533350419,48,28
1533351394,56,38
1533352340,64,27
1533353289,43,38
1533354283,43,37
1533355227,61,36
1533356183,67,31
1533357152,50,26
1533358099,61,33
1533359051,49,18
1533360016,69,22
1533360999,43,11
1533361977,61,13
1533362900,45,1
1533363866,52,21
1533364818,54,3
1533365792,78,83
1533366744,91,4
1533367701,47,67
1533368690,66,4
1533369644,65,29
1533370583,62,53
1533371556,63,40
1533372492,64,54
1533373470,56,51
1533374411,68,48
1533375397,63,33
1533376334,42,9
1533377332,57,86
1533378276,60,31
1533379212,77,8
1533380234,52,70
1533380673,29,17
1533381409,49,26
1533381856,19,7
1533382346,37,1
1533382831,18,6
1533383294,42,19
1533383778,15,2
1533384274,35,29
1533384746,13,12
1533385247,51,37
1533385708,7,12
1533386174,52,26
1533386657,10,8
1533387165,52,2
1533387628,9,4
1533388098,43,35
1533388595,18,6
1533389064,47,2
1533389553,12,7
1533390013,34,26
1533390498,8,7
1533390980,39,42
1533391484,22,9
1533391964,55,4
1533392422,9,3
1533392911,41,37
1533393390,17,9
1533393871,39,2
1533394348,15,5
1533394822,38,23
1533395310,13,7
1533395782,36,15
1533396267,12,13
1533396751,67,45
1533397228,16,5
1533397693,39,3
1533398176,18,5
1533398759,55,48
1533399178,19,11
1533399864,59,25
1533400349,14,8
1533400824,48,17
1533401291,8,10
1533401786,46,27
1533402267,8,6
1533402750,41,18
1533403227,15,4
1533403697,47,23
1533404191,16,4
1533404675,44,3
1533405170,6,1
1533405643,41,40
1533406104,12,7
1533406593,44,26
1533407063,7,3
1533407549,49,22
1533408020,6,6
1533408512,54,20
1533408984,17,12
1533409476,57,22
1533409951,14,7
1533410430,46,285
1533410897,11,9
1533411381,51,23
1533411870,13,3
1533412356,39,20
1533412839,7,11
1533413308,53,31
1533413822,9,8
1533414273,42,16
1533414747,14,6
1533415224,67,41
1533415708,13,8
1533416188,43,8
1533416671,3,6
1533417150,49,28
1533417619,14,4
1533418100,41,22
1533418585,12,5
1533419064,59,18
1533419562,8,7
1533420038,59,17
1533420520,16,8
1533421111,64,26
1533421466,10,7
1533422189,43,38
1533422684,18,2
1533424388,92,51
1533425290,58,8
1533426263,65,42
1533427219,69,33
1533428193,87,36
1533429149,67,46
1533430104,65,36
1533431068,61,37
1533432030,54,36
1533432976,75,38
1533433943,75,23
1533434893,64,33
1533435904,61,34
1533436811,51,30
1533437770,65,24
1533438757,58,26
1533439958,63,21
1533440892,40,26
1533441882,51,27
1533442811,53,27
1533443805,57,22
1533444736,60,25
1533445715,46,14
1533446681,67,17
