DateTime,AddedIPs,RemovedIPs
1533041061,0,11
1533041557,291,271
1533042031,0,10
1533042497,1142,1185
1533043007,8,10
1533043461,1328,1313
1533043960,14,10
1533044414,1303,1290
1533044924,14,10
1533045394,1389,1359
1533045890,12,13
1533046338,1362,1360
1533046813,12,5
1533047327,1364,1343
1533047792,15,14
1533048295,1411,1411
1533049005,17,17
1533049487,1379,1389
1533050045,6,9
1533050415,1386,1378
1533051132,15,14
1533051388,1536,1521
1533052109,8,14
1533052587,1515,1526
1533053098,10,14
1533053564,1397,1392
1533054036,9,16
1533054492,1353,1358
1533055233,15,19
1533055490,1162,1151
1533056448,1156,1158
1533057374,1137,1145
1533058349,1104,1111
1533059303,1133,1109
1533060270,1085,1092
1533061217,1084,1085
1533062175,1122,1114
1533063151,1123,1120
1533064123,1710,1662
1533065056,1667,1714
1533066019,1157,1146
1533067526,1141,1145
1533068661,1127,1105
1533069611,1083,1078
1533070589,1130,1124
1533071678,1155,1156
1533072755,1170,1169
1533073712,1105,1111
1533074683,1091,1088
1533075622,1108,1117
1533076590,1117,1118
1533077548,1114,1102
1533078496,1122,1129
1533079473,1134,1142
1533080411,1116,1126
1533081369,1142,1145
1533082363,1197,1201
1533083305,1218,1242
1533084269,1144,1200
1533085234,1157,1155
1533086181,1134,1147
1533087164,1143,1157
1533088093,1130,1135
1533089068,1117,1126
1533090012,1109,1127
1533091006,1104,1114
1533091947,1132,1118
1533092917,1141,1134
1533093857,1134,1147
1533094815,1147,1124
1533095777,1169,1175
1533096735,1171,1155
1533097702,1181,1194
1533098682,1230,1194
1533099628,1145,1206
1533100593,1176,1172
1533101541,1206,1193
1533102500,1155,1164
1533103468,1198,1170
1533104414,1199,1184
1533105390,1168,1179
1533106364,1217,1152
1533107294,1166,1188
1533108254,1216,1197
1533109214,1223,1208
1533110215,1167,1167
1533111136,1224,1221
1533112116,1264,1231
1533113069,1243,1231
1533114042,1293,1276
1533114975,1230,1236
1533115937,1276,1233
1533116916,1269,1260
1533117884,1252,1228
1533118813,1208,1259
1533119772,1188,1194
1533120760,1242,1269
1533121721,1229,1244
1533122663,1254,1257
1533124872,1239,1242
1533125775,1200,1166
1533126750,1207,1187
1533127696,1234,1195
1533128686,1177,1163
1533129609,1197,1203
1533130572,1199,1187
1533131566,1204,1217
1533132497,1171,1195
1533133463,1200,1196
1533134412,1212,1204
1533135395,1195,1207
1533136333,1214,1224
1533137380,1213,1196
1533138523,1252,1260
1533139457,1238,1246
1533140434,1254,1255
1533141394,1222,1233
1533142340,1222,1186
1533143299,1165,1177
1533144278,1167,1175
1533145240,1351,1345
1533146172,1315,1276
1533147143,1207,1189
1533148091,1172,1166
1533149106,1171,1166
1533150014,1189,1160
1533150987,1146,1131
1533151966,1133,1113
1533152900,1181,1152
1533153862,1189,1170
1533154815,1166,1139
1533155792,1181,1176
1533156736,1212,1177
1533157703,1192,1171
1533158665,1166,1147
1533159631,1181,1135
1533160573,1191,1151
1533161543,1183,1178
1533162495,1213,1186
1533163488,1221,1179
1533164443,1183,1171
1533165386,1218,1175
1533166847,1222,1183
1533167769,1251,1223
1533168747,1239,1217
1533169700,1235,1205
1533170700,1234,1201
1533171613,1263,1248
1533172598,1318,1270
1533173541,1269,1295
1533174515,1290,1297
1533175467,1264,1282
1533176420,1268,1241
1533177388,1225,1216
1533178342,1296,1295
1533179297,1281,1282
1533180269,1282,1266
1533181213,1281,1327
1533182190,1281,1237
1533183142,1273,1283
1533184095,1233,1241
1533185087,1226,1223
1533186037,1228,1243
1533186984,1224,1232
1533187950,1244,1227
1533188894,1277,1305
1533189886,1327,1290
1533190810,1206,1215
1533191793,1208,1252
1533192764,1199,1175
1533193718,1203,1210
1533194662,1233,1221
1533195630,1270,1263
1533196581,1238,1239
1533197544,1241,1231
1533198502,1198,1194
1533199469,1113,1111
1533200466,1064,1078
1533201387,1154,1164
1533202342,862,861
1533203323,1268,1228
1533204262,1216,1265
1533205212,1312,1278
1533206192,1267,1248
1533207158,1231,1240
1533208367,1220,1221
1533209292,1176,1176
1533210275,1163,1192
1533211267,1159,1123
1533212194,1194,1203
1533213142,1319,1328
1533214391,1295,1289
1533215293,1185,1172
1533216260,1146,1154
1533217228,1128,1142
1533218194,1134,1127
1533219139,1161,1175
1533220095,1200,1186
1533221094,1186,1233
1533222027,1165,1177
1533222978,1105,1151
1533223952,1276,1272
1533224924,1248,1272
1533226161,1116,1200
1533227054,10,43
1533227286,1094,1083
1533228014,9,15
1533228289,1127,1113
1533228984,19,56
1533229214,1079,1081
1533229929,9,23
1533230174,1055,1057
1533230890,7,28
1533231154,1236,1224
1533231868,20,61
1533232365,1272,1264
1533232848,13,60
1533233315,1114,1136
1533233793,0,27
1533234287,1125,1098
1533234751,12,39
1533235240,1144,1132
1533235691,10,35
1533236178,1162,1160
1533236673,14,37
1533237145,1184,1171
1533237630,13,27
1533238092,1146,1139
1533238581,14,55
1533239093,1151,1146
1533239548,13,51
1533240033,1206,1189
1533240499,5,15
1533240981,1297,1273
1533241466,3,23
1533241957,1323,1320
1533242434,16,24
1533242899,1240,1229
1533243390,18,31
1533243882,1146,1146
1533244374,9,30
1533244818,1144,1142
1533245313,4,16
1533245781,1188,1183
