DateTime,Entries,UniqueIPs
1533041061,3038,3038
1533041557,3058,3058
1533042031,3048,3048
1533042497,3005,3005
1533043007,3003,3003
1533043461,3018,3018
1533043960,3022,3022
1533044414,3035,3035
1533044924,3039,3039
1533045394,3069,3069
1533045890,3068,3068
1533046338,3070,3070
1533046813,3077,3077
1533047327,3098,3098
1533047792,3099,3099
1533048295,3099,3099
1533049005,3099,3099
1533049487,3089,3089
1533050045,3086,3086
1533050415,3094,3094
1533051132,3095,3095
1533051388,3110,3110
1533052109,3104,3104
1533052587,3093,3093
1533053098,3089,3089
1533053564,3094,3094
1533054036,3087,3087
1533054492,3082,3082
1533055233,3078,3078
1533055490,3089,3089
1533056448,3087,3087
1533057374,3079,3079
1533058349,3072,3072
1533059303,3096,3096
1533060270,3089,3089
1533061217,3088,3088
1533062175,3096,3096
1533063151,3099,3099
1533064123,3147,3147
1533065056,3100,3100
1533066019,3111,3111
1533067526,3107,3107
1533068661,3129,3129
1533069611,3134,3134
1533070589,3140,3140
1533071678,3139,3139
1533072755,3140,3140
1533073712,3134,3134
1533074683,3137,3137
1533075622,3128,3128
1533076590,3127,3127
1533077548,3139,3139
1533078496,3132,3132
1533079473,3124,3124
1533080411,3114,3114
1533081369,3111,3111
1533082363,3107,3107
1533083305,3083,3083
1533084269,3027,3027
1533085234,3029,3029
1533086181,3016,3016
1533087164,3002,3002
1533088093,2997,2997
1533089068,2988,2988
1533090012,2970,2970
1533091006,2960,2960
1533091947,2974,2974
1533092917,2981,2981
1533093857,2968,2968
1533094815,2991,2991
1533095777,2985,2985
1533096735,3001,3001
1533097702,2988,2988
1533098682,3024,3024
1533099628,2963,2963
1533100593,2967,2967
1533101541,2980,2980
1533102500,2971,2971
1533103468,2999,2999
1533104414,3014,3014
1533105390,3003,3003
1533106364,3068,3068
1533107294,3046,3046
1533108254,3065,3065
1533109214,3080,3080
1533110215,3080,3080
1533111136,3083,3083
1533112116,3116,3116
1533113069,3128,3128
1533114042,3145,3145
1533114975,3139,3139
1533115937,3182,3182
1533116916,3191,3191
1533117884,3215,3215
1533118813,3164,3164
1533119772,3158,3158
1533120760,3131,3131
1533121721,3116,3116
1533122663,3113,3113
1533124872,3110,3110
1533125775,3144,3144
1533126750,3164,3164
1533127696,3203,3203
1533128686,3217,3217
1533129609,3211,3211
1533130572,3223,3223
1533131566,3210,3210
1533132497,3186,3186
1533133463,3190,3190
1533134412,3198,3198
1533135395,3186,3186
1533136333,3176,3176
1533137380,3193,3193
1533138523,3185,3185
1533139457,3177,3177
1533140434,3176,3176
1533141394,3165,3165
1533142340,3201,3201
1533143299,3189,3189
1533144278,3181,3181
1533145240,3187,3187
1533146172,3226,3226
1533147143,3244,3244
1533148091,3250,3250
1533149106,3255,3255
1533150014,3284,3284
1533150987,3299,3299
1533151966,3319,3319
1533152900,3348,3348
1533153862,3367,3367
1533154815,3394,3394
1533155792,3399,3399
1533156736,3434,3434
1533157703,3455,3455
1533158665,3474,3474
1533159631,3520,3520
1533160573,3560,3560
1533161543,3565,3565
1533162495,3592,3592
1533163488,3634,3634
1533164443,3646,3646
1533165386,3689,3689
1533166847,3728,3728
1533167769,3756,3756
1533168747,3778,3778
1533169700,3808,3808
1533170700,3841,3841
1533171613,3856,3856
1533172598,3904,3904
1533173541,3878,3878
1533174515,3871,3871
1533175467,3853,3853
1533176420,3880,3880
1533177388,3889,3889
1533178342,3890,3890
1533179297,3889,3889
1533180269,3905,3905
1533181213,3859,3859
1533182190,3903,3903
1533183142,3893,3893
1533184095,3885,3885
1533185087,3888,3888
1533186037,3873,3873
1533186984,3865,3865
1533187950,3882,3882
1533188894,3854,3854
1533189886,3891,3891
1533190810,3882,3882
1533191793,3838,3838
1533192764,3862,3862
1533193718,3855,3855
1533194662,3867,3867
1533195630,3874,3874
1533196581,3873,3873
1533197544,3883,3883
1533198502,3887,3887
1533199469,3889,3889
1533200466,3875,3875
1533201387,3865,3865
1533202342,3866,3866
1533203323,3906,3906
1533204262,3857,3857
1533205212,3891,3891
1533206192,3910,3910
1533207158,3901,3901
1533208367,3900,3900
1533209292,3900,3900
1533210275,3871,3871
1533211267,3907,3907
1533212194,3898,3898
1533213142,3889,3889
1533214391,3895,3895
1533215293,3908,3908
1533216260,3900,3900
1533217228,3886,3886
1533218194,3893,3893
1533219139,3879,3879
1533220095,3893,3893
1533221094,3846,3846
1533222027,3834,3834
1533222978,3788,3788
1533223952,3792,3792
1533224924,3768,3768
1533226161,3684,3684
1533227054,3651,3651
1533227286,3662,3662
1533228014,3656,3656
1533228289,3670,3670
1533228984,3633,3633
1533229214,3631,3631
1533229929,3617,3617
1533230174,3615,3615
1533230890,3594,3594
1533231154,3606,3606
1533231868,3565,3565
1533232365,3573,3573
1533232848,3526,3526
1533233315,3504,3504
1533233793,3477,3477
1533234287,3504,3504
1533234751,3477,3477
1533235240,3489,3489
1533235691,3464,3464
1533236178,3466,3466
1533236673,3443,3443
1533237145,3456,3456
1533237630,3442,3442
1533238092,3449,3449
1533238581,3408,3408
1533239093,3413,3413
1533239548,3375,3375
1533240033,3392,3392
1533240499,3382,3382
1533240981,3406,3406
1533241466,3386,3386
1533241957,3389,3389
1533242434,3381,3381
1533242899,3392,3392
1533243390,3379,3379
1533243882,3379,3379
1533244374,3358,3358
1533244818,3360,3360
1533245313,3348,3348
1533245781,3353,3353
1533246377,3330,3330
1533246736,3322,3322
1533247457,3325,3325
1533247715,3339,3339
1533248423,3314,3314
1533248670,3332,3332
1533249373,3316,3316
1533249617,3316,3316
1533250327,3301,3301
1533250588,3300,3300
1533251310,3281,3281
1533251540,3288,3288
1533252247,3273,3273
1533253731,3227,3227
1533254660,3214,3214
1533255619,3192,3192
1533256602,3170,3170
1533257581,3165,3165
1533258520,3126,3126
1533259465,3120,3120
1533260412,3135,3135
1533261393,3098,3098
1533262354,3107,3107
1533263293,3096,3096
1533264294,3099,3099
1533265247,3097,3097
1533266173,3107,3107
1533267149,3124,3124
1533268096,3113,3113
1533269073,3118,3118
1533270031,3108,3108
1533270993,3106,3106
1533271975,3097,3097
1533272900,3068,3068
1533273863,3110,3110
1533274811,3107,3107
1533275782,3089,3089
1533276756,3095,3095
1533277689,3076,3076
1533278673,3108,3108
1533279614,3081,3081
1533280626,3095,3095
1533281535,3087,3087
1533282500,3094,3094
1533283466,3097,3097
1533284421,3122,3122
1533285388,3144,3144
1533286330,3129,3129
1533287309,3142,3142
1533288269,3198,3198
1533289216,3182,3182
1533290189,3191,3191
1533291136,3196,3196
1533292100,3190,3190
1533293058,3178,3178
1533294021,3181,3181
1533294996,3135,3135
1533296188,3145,3145
1533297144,3144,3144
1533298110,3140,3140
1533299225,3154,3154
1533300249,3162,3162
1533301217,3177,3177
1533302180,3170,3170
1533303133,3171,3171
1533304112,3136,3136
1533305057,3157,3157
1533306023,3162,3162
1533306985,3162,3162
1533307938,3152,3152
1533308898,3161,3161
1533309869,3141,3141
1533310829,3159,3159
1533311778,3145,3145
1533312734,3151,3151
1533313700,3157,3157
1533314675,3166,3166
1533315643,3137,3137
1533316572,3159,3159
1533317555,3149,3149
1533318502,3152,3152
1533319470,3149,3149
1533320418,3154,3154
1533321396,3148,3148
1533322374,3166,3166
1533323570,3154,3154
1533324501,3181,3181
1533325464,3160,3160
1533326436,3178,3178
1533327396,3182,3182
1533328338,3191,3191
1533329295,3208,3208
1533330280,3194,3194
1533331245,3201,3201
1533332178,3233,3233
1533333144,3232,3232
1533334119,3247,3247
1533335076,3235,3235
1533336016,3239,3239
1533336985,3236,3236
1533337940,3259,3259
1533338925,3241,3241
1533339855,3246,3246
1533340833,3225,3225
1533341775,3213,3213
1533342754,3226,3226
1533343704,3215,3215
1533344689,3214,3214
1533345614,3222,3222
1533346586,3219,3219
1533347543,3223,3223
1533348507,3230,3230
1533349456,3229,3229
1533350419,3253,3253
1533351394,3226,3226
1533352340,3247,3247
1533353289,3258,3258
1533354283,3260,3260
1533355227,3238,3238
1533356183,3253,3253
1533357152,3271,3271
1533358099,3255,3255
1533359051,3246,3246
1533360016,3287,3287
1533360999,3258,3258
1533361977,3282,3282
1533362900,3277,3277
1533363866,3275,3275
1533364818,3284,3284
1533365792,3278,3278
1533366744,3315,3315
1533367701,3321,3321
1533368690,3311,3311
1533369644,3302,3302
1533370583,3295,3295
1533371556,3284,3284
1533372492,3323,3323
1533373470,3349,3349
1533374411,3321,3321
1533375397,3330,3330
1533376334,3342,3342
1533377332,3361,3361
1533378276,3369,3369
1533379212,3364,3364
1533380234,3389,3389
1533380673,3400,3400
1533381409,3398,3398
1533381856,3391,3391
1533382346,3426,3426
1533382831,3413,3413
1533383294,3403,3403
1533383778,3404,3404
1533384274,3408,3408
1533384746,3398,3398
1533385247,3426,3426
1533385708,3415,3415
1533386174,3409,3409
1533386657,3398,3398
1533387165,3414,3414
1533387628,3410,3410
1533388098,3424,3424
1533388595,3430,3430
1533389064,3448,3448
1533389553,3447,3447
1533390013,3456,3456
1533390498,3444,3444
1533390980,3434,3434
1533391484,3432,3432
1533391964,3478,3478
1533392422,3468,3468
1533392911,3462,3462
1533393390,3464,3464
1533393871,3476,3476
1533394348,3471,3471
1533394822,3479,3479
1533395310,3480,3480
1533395782,3490,3490
1533396267,3485,3485
1533396751,3489,3489
1533397228,3485,3485
1533397693,3478,3478
1533398176,3479,3479
1533398759,3492,3492
1533399178,3485,3485
1533399864,3489,3489
1533400349,3469,3469
1533400824,3493,3493
1533401291,3487,3487
1533401786,3500,3500
1533402267,3488,3488
1533402750,3492,3492
1533403227,3491,3491
1533403697,3498,3498
1533404191,3486,3486
1533404675,3508,3508
1533405170,3495,3495
1533405643,3474,3474
1533406104,3466,3466
1533406593,3480,3480
1533407063,3459,3459
1533407549,3469,3469
1533408020,3452,3452
1533408512,3460,3460
1533408984,3448,3448
1533409476,3497,3497
1533409951,3489,3489
1533410430,3451,3451
1533410897,3447,3447
1533411381,3454,3454
1533411870,3442,3442
1533412356,3456,3456
1533412839,3440,3440
1533413308,3447,3447
1533413822,3437,3437
1533414273,3451,3451
1533414747,3430,3430
1533415224,3443,3443
1533415708,3432,3432
1533416188,3421,3421
1533416671,3400,3400
1533417150,3420,3420
1533417619,3408,3408
1533418100,3424,3424
1533418585,3416,3416
1533419064,3415,3415
1533419562,3402,3402
1533420038,3429,3429
1533420520,3415,3415
1533421111,3415,3415
1533421466,3417,3417
1533422189,3432,3432
1533422684,3422,3422
1533424388,3400,3400
1533425290,3400,3400
1533426263,3362,3362
1533427219,3383,3383
1533428193,3347,3347
1533429149,3383,3383
1533430104,3372,3372
1533431068,3352,3352
1533432030,3335,3335
1533432976,3333,3333
1533433943,3340,3340
1533434893,3319,3319
1533435904,3339,3339
1533436811,3326,3326
1533437770,3320,3320
1533438757,3317,3317
1533439958,3322,3322
1533440892,3312,3312
1533441882,3295,3295
1533442811,3306,3306
1533443805,3295,3295
1533444736,3297,3297
1533445715,3285,3285
1533446681,3283,3283
