DateTime,AddedIPs,RemovedIPs
1533223224,32,0
1533223524,25,0
1533223831,26,1
1533224427,50,0
1533224728,22,0
1533225631,75,0
1533225928,17,0
1533226526,41,0
1533226829,24,0
1533227127,20,0
1533227429,29,0
1533227730,26,0
1533228028,26,0
1533228625,43,0
1533228926,18,0
1533229226,27,0
1533229531,10,0
1533230124,4,0
1533230422,11,0
1533230722,2,0
1533231027,2,0
1533231326,1,0
1533231628,3,0
1533232228,1,0
1533232827,1,0
1533233727,2,0
1533234025,1,0
1533234628,23,0
1533235225,4,0
1533235531,1,0
1533235830,3,0
1533236121,6,0
1533236426,3,0
1533237331,1,0
1533238224,1,0
1533238528,1,0
1533239425,1,0
1533240627,2,0
1533241532,2,0
1533241828,2,0
1533242724,1,0
1533243323,1,0
1533243625,1,0
1533244227,1,0
1533245123,2,0
1533245723,3,0
1533246327,4,0
1533246627,1,0
1533248424,5,0
1533249029,1,0
1533249625,2,0
1533249921,1,0
1533250228,2,0
1533250528,1,0
1533250823,1,0
1533251122,2,0
1533252031,2,0
1533253229,4,0
1533253527,2,0
1533254125,2,0
1533255031,2,0
1533255626,1,0
1533255932,1,0
1533256527,1,0
1533257127,2,0
1533258030,1,0
1533258932,1,0
1533259831,1,0
1533260431,3,0
1533261030,1,0
1533261326,1,0
1533261631,3,0
1533262831,1,0
1533263129,2,0
1533263430,1,0
1533263729,1,0
1533264628,2,0
1533265228,2,0
1533266130,2,0
1533266432,1,0
1533266724,1,0
1533267028,1,0
1533267627,1,0
1533268225,1,0
1533269423,1,0
1533270024,2,0
1533270628,1,0
1533270925,1,0
1533271824,1,0
1533273623,1,0
1533274223,1,0
1533274524,3,0
1533275121,1,0
1533276321,1,0
1533276625,20,0
1533277229,36,0
1533277528,24,0
1533277827,50,0
1533278131,7,0
1533278431,1,0
1533279632,2,0
1533280231,81,0
1533280531,77,0
1533280831,51,0
1533281130,48,0
1533281427,39,0
1533281731,43,0
1533282030,30,0
1533282329,35,0
1533282929,45,0
1533283228,29,0
1533283830,48,0
1533284429,34,0
1533284725,16,0
1533285026,15,0
1533285327,12,0
1533285628,11,0
1533285928,6,0
1533286231,4,0
1533286531,11,0
1533286827,4,0
1533287130,4,0
1533287723,21,0
1533288029,12,0
1533288628,23,0
1533289224,16,0
1533289524,4,0
1533289830,5,0
1533290130,5,0
1533290426,7,0
1533290728,9,0
1533291026,7,0
1533291327,11,0
1533291623,8,0
1533291927,8,0
1533292526,14,0
1533292828,3,0
1533293425,14,0
1533293726,6,0
1533294027,8,0
1533294331,4,0
1533294620,3,0
1533295222,12,0
1533295521,6,0
1533296120,14,0
1533296421,7,0
1533296721,3,0
1533297021,5,0
1533297621,10,0
1533297922,6,0
1533298222,5,0
1533298522,4,0
1533299122,9,0
1533299424,9,0
1533299721,9,0
1533300021,5,0
1533300321,6,0
1533300621,3,0
1533300921,5,0
1533301222,9,0
1533301523,4,0
1533301825,9,0
1533302123,9,0
1533302425,5,0
1533302721,7,0
1533303021,10,0
1533303321,6,0
1533303624,8,0
1533304227,5,0
1533305421,1,0
1533305723,1,0
1533306026,2,0
1533306323,1,0
1533306924,1,0
1533307826,2,0
1533308423,1,0
1533308727,2,0
1533309030,1,0
