DateTime,AddedIPs,RemovedIPs
1533043007,7,4
1533043461,50,26
1533043960,14,9
1533044414,72,29
1533044924,14,12
1533045394,65,33
1533045890,12,1
1533046338,48,23
1533046813,12,8
1533047327,45,25
1533047792,15,6
1533048295,45,27
1533049005,17,1
1533049487,82,23
1533050045,6,3
1533050415,34,34
1533051132,15,8
1533051388,45,22
1533052109,7,0
1533052587,47,36
1533053098,9,6
1533053564,30,27
1533054036,9,4
1533054492,49,28
1533055233,15,8
1533055490,34,32
1533056448,42,35
1533057374,41,26
1533058349,56,24
1533059303,41,0
1533060270,43,30
1533061217,61,15
1533062175,42,36
1533063151,46,36
1533064123,41,60
1533065056,47,22
1533066019,47,30
1533067526,54,31
1533068661,46,23
1533069611,48,20
1533070589,46,47
1533071678,38,20
1533072755,55,22
1533073712,37,27
1533074683,52,23
1533075622,44,20
1533076093,24,29
1533076590,44,21
1533077548,49,23
1533078496,35,19
1533079473,40,38
1533079939,50,56
1533080411,57,30
1533081369,43,36
1533082363,45,29
1533083305,61,38
1533084269,76,35
1533085234,50,31
1533086181,45,30
1533087164,45,17
1533088093,65,14
1533089068,52,48
1533090012,53,3
1533091006,43,59
1533091947,47,28
1533092917,46,5
1533093857,42,27
1533094815,51,17
1533095777,47,21
1533096735,122,59
1533097702,40,17
1533098682,49,13
1533099628,43,25
1533100593,42,25
1533101541,58,26
1533102500,49,28
1533103468,44,20
1533104414,69,25
1533105390,66,32
1533106364,46,38
1533107294,64,30
1533108254,66,31
1533109214,69,32
1533110215,53,23
1533110656,30,0
1533111136,69,30
1533112116,76,34
1533113069,34,0
1533114042,61,31
1533114975,61,29
1533115937,63,32
1533116916,59,22
1533117884,59,20
1533118813,58,29
1533119772,46,32
1533120760,56,28
1533121721,41,27
1533122663,77,28
1533124872,97,58
1533125775,1510,1719
1533126750,54,43
1533127696,58,23
1533128686,62,26
1533129609,64,24
1533130572,40,39
1533131566,45,19
1533132497,50,18
1533133463,71,40
1533134412,53,23
1533135395,54,25
1533136333,58,33
1533137380,66,29
1533138523,65,19
