DateTime,AddedIPs,RemovedIPs
1533123125,73,49
1533124323,44,7
1533125282,117,25
1533126123,50,7
1533126722,1,0
1533127204,14,38
1533127323,42,0
1533128571,52,21
1533129124,57,3
1533129723,42,7
1533131043,119,22
1533131523,41,0
1533132123,24,1
1533132172,0,2
1533132963,12,63
1533133325,59,4
1533134524,22,5
1533134882,66,19
1533135124,65,8
1533135772,37,0
1533136803,85,100
1533136923,12,9
1533137523,50,1
1533138123,62,0
1533138724,36,9
1533139372,46,6
1533139924,37,0
1533140523,46,0
1533141124,123,24
1533141723,52,10
1533142323,1,0
1533143044,52,108
1533144124,61,11
1533144723,52,0
1533145202,75,0
1533145323,53,5
1533146571,55,12
1533147124,52,73
1533147724,50,4
1533148323,1,1
1533148923,51,8
1533149523,50,0
1533150123,60,0
1533150231,1,1
1533150962,73,0
1533151323,43,11
1533151924,47,3
1533152523,46,4
1533152884,67,154
1533153123,45,6
1533153773,50,6
1533154923,51,0
1533156123,45,7
1533156723,98,0
1533157324,42,17
1533157371,0,2
1533157924,55,0
1533158642,15,84
1533159123,10,17
1533159723,18,2
1533160323,58,7
1533160563,110,126
1533160975,26,1
1533161522,1,9
1533162123,18,3
1533162751,21986,4226
1533163323,46,0
1533164412,57,0
1533164572,26,0
1533165123,27,0
1533166802,94,13
1533167283,29,162
1533167523,1,0
1533168172,19,0
1533168724,100,0
1533169323,24,0
1533170523,59,0
1533171772,48,2
1533172323,49,0
1533173043,53,74
1533173524,55,0
1533174123,48,0
1533174482,313,0
1533174723,45,0
1533175372,50,0
1533176402,36,296
1533176525,51,0
1533177122,1,0
1533177723,57,0
1533178322,67,6
1533178811,0,112
1533178922,37,0
1533178976,0,1
1533179524,58,0
1533180123,62,0
1533181322,47,0
1533182163,73,0
1533182571,46,0
1533183723,34,0
1533184323,39,0
1533184924,77,0
1533185523,23,0
1533186024,70,5
1533186483,47,162
1533186723,12,0
1533187324,11,0
1533187923,1,0
1533188523,35,0
1533189844,98,0
1533190323,1,0
1533190923,6,0
1533191523,50,0
1533192124,44,0
1533193324,48,0
1533193683,64,15
1533194162,34,110
1533194524,58,0
1533195124,51,0
1533195602,61,0
1533195723,39,0
1533196325,43,0
1533196972,84,0
1533197523,13,0
1533198124,42,0
1533198724,63,0
1533199442,119,13
1533199923,77,47
1533200572,54,3
1533201124,40,0
1533201843,54,46
1533202923,50,0
1533203282,70,0
1533203523,21,0
1533204173,72,2
1533204724,11,0
1533205323,59,0
1533206523,54,1
1533207123,114,12
1533207773,40,1
1533208804,53,42
1533208923,46,0
1533210123,55,1
1533210723,64,47
1533211225,57,0
1533211372,49,0
1533212653,40,52
