DateTime,AddedIPs,RemovedIPs
1533031323,53,50
1533031924,54,0
1533032523,72,8
1533033124,51,11
1533033724,62,0
1533034923,49,41
1533036124,77,22
1533036723,56,0
1533037323,66,1
1533037923,54,7
1533038523,63,7
1533039723,8,13
1533040924,54,66
1533042123,64,0
1533042723,58,14
1533043323,58,8
1533043923,44,27
1533044523,51,0
1533045123,43,7
1533045723,11,15
1533046923,11,49
1533047524,41,19
1533048123,72,18
1533048724,9,0
1533049324,50,11
1533049923,55,9
1533050524,28,0
1533051723,31,22
1533052324,27,33
1533052923,47,13
1533054123,15,25
1533054723,65,0
1533055323,55,0
1533055924,60,24
1533056523,45,10
1533057723,59,13
1533058923,57,18
1533059523,58,15
1533060124,46,0
1533061323,60,20
1533062523,60,15
1533063123,61,0
1533063724,62,30
1533064323,28,12
1533064924,60,12
1533065523,56,0
1533067323,42,79
1533068524,59,0
1533069724,49,26
1533070923,59,12
1533072124,50,31
1533073323,20,32
1533073923,65,14
1533074523,58,0
1533075724,59,32
1533076924,12,25
1533078124,45,0
1533078723,52,10
1533079324,59,21
1533080524,49,14
1533081724,9,36
1533082924,47,17
1533084124,74,34
1533085323,52,51
1533086524,61,51
1533087723,30,13
1533088923,33,27
1533090123,29,29
1533090723,59,26
1533091323,54,20
1533091923,50,0
1533092523,37,19
1533093123,56,0
1533093724,60,0
1533094924,51,41
1533095523,46,18
1533096124,44,23
1533097323,53,61
1533098524,53,14
1533099724,56,10
1533100923,50,91
1533102124,68,31
1533102724,37,0
1533103323,51,0
1533103924,53,19
1533104524,54,37
1533105124,53,13
1533105724,48,47
1533106923,59,0
1533107524,50,40
1533108123,35,29
1533108724,50,0
1533109323,54,0
1533109923,42,45
1533110524,64,12
1533111723,33,28
1533112324,40,0
1533112924,78,17
1533113523,45,26
1533114123,58,69
1533115324,61,31
1533116523,27,0
1533117123,71,60
1533117723,60,20
1533118324,60,0
1533118924,56,0
1533120124,44,49
1533121323,50,26
1533121924,49,0
1533122524,67,24
1533123123,21,0
1533124323,47,10
1533124923,53,25
1533126123,50,0
1533127323,43,40
1533128523,53,0
1533129124,51,41
1533129723,47,0
